x,y,tuple,type
0.09569377990430716,547.794117647059,0,mean
0.09569377990430716,626.8382352941219,0,up
0.09569377990430716,465.07352941176055,0,down
1.0526315789473681,533.0882352941178,1,mean
1.0526315789473681,597.4264705882388,1,up
1.0526315789473681,470.5882352941146,1,down
2.5837320574162668,518.3823529411764,2,mean
2.5837320574162668,560.6617647058845,2,up
2.5837320574162668,477.94117647058624,2,down
4.210526315789473,518.3823529411764,3,mean
4.210526315789473,549.6323529411779,3,up
4.210526315789473,485.2941176470572,3,down
5.933014354066987,529.4117647058824,4,mean
5.933014354066987,568.014705882355,4,up
5.933014354066987,494.4852941176455,4,down
7.464114832535884,551.4705882352941,5,mean
7.464114832535884,599.2647058823554,5,up
7.464114832535884,509.19117647058624,5,down
8.89952153110048,584.5588235294117,6,mean
8.89952153110048,632.352941176473,6,up
8.89952153110048,542.2794117647038,6,down
10.239234449760765,628.6764705882354,7,mean
10.239234449760765,672.7941176470611,7,up
10.239234449760765,591.9117647058806,7,down
11.483253588516746,665.4411764705883,8,mean
11.483253588516746,705.8823529411784,8,up
11.483253588516746,623.1617647058802,8,down
12.727272727272727,694.8529411764707,9,mean
12.727272727272727,731.6176470588255,9,up
12.727272727272727,652.5735294117626,9,down
14.354066985645932,731.6176470588234,10,mean
14.354066985645932,773.8970588235316,10,up
14.354066985645932,693.0147058823509,10,down
15.885167464114833,753.6764705882354,11,mean
15.885167464114833,795.9558823529435,11,up
15.885167464114833,715.0735294117628,11,down
17.511961722488035,764.7058823529412,12,mean
17.511961722488035,806.9852941176493,12,up
17.511961722488035,724.2647058823509,12,down
19.42583732057416,783.0882352941176,13,mean
19.42583732057416,823.5294117647079,13,up
19.42583732057416,738.9705882352919,13,down
21.244019138755977,794.1176470588234,14,mean
21.244019138755977,834.5588235294138,14,up
21.244019138755977,755.5147058823509,14,down
23.157894736842106,801.4705882352941,15,mean
23.157894736842106,845.5882352941198,15,up
23.157894736842106,759.191176470586,15,down
24.97607655502392,808.8235294117646,16,mean
24.97607655502392,851.1029411764728,16,up
24.97607655502392,762.8676470588211,16,down
27.08133971291866,816.1764705882354,17,mean
27.08133971291866,862.132352941179,17,up
27.08133971291866,766.5441176470565,17,down
29.1866028708134,823.5294117647061,18,mean
29.1866028708134,871.3235294117673,18,up
29.1866028708134,766.544117647056,18,down
31.19617224880383,823.5294117647061,19,mean
31.19617224880383,884.1911764705915,19,up
31.19617224880383,762.8676470588205,19,down
33.39712918660287,827.2058823529412,20,mean
33.39712918660287,906.2500000000041,20,up
33.39712918660287,749.9999999999961,20,down
35.215311004784695,827.2058823529412,21,mean
35.215311004784695,926.4705882352993,21,up
35.215311004784695,729.7794117647011,21,down
36.9377990430622,827.2058823529412,22,mean
36.9377990430622,948.5294117647122,22,up
36.9377990430622,702.2058823529349,22,down
38.75598086124401,827.2058823529412,23,mean
38.75598086124401,974.2647058823605,23,up
38.75598086124401,674.6323529411688,23,down
40.47846889952153,823.5294117647061,24,mean
40.47846889952153,1001.8382352941263,24,up
40.47846889952153,641.5441176470497,24,down
41.72248803827752,819.8529411764707,25,mean
41.72248803827752,1023.8970588235381,25,up
41.72248803827752,613.9705882352837,25,down
42.87081339712918,816.1764705882354,26,mean
42.87081339712918,1044.1176470588325,26,up
42.87081339712918,584.5588235294001,26,down
