x,y,tuple,type
1.2236207059714204,202.3043437115548,0,mean
1.2321377874515012,284.49417999432353,0,up
1.2155767956846795,124.68060944449553,0,down
2.258446105801079,188.36945206775817,1,mean
2.2655436737011456,256.8609823033985,1,up
2.2513485379010127,119.87792183211764,1,down
3.29327150563074,174.43456042396133,2,mean
3.2998959023374663,238.3599886438924,2,up
3.287120280117348,115.07523421973951,2,down
4.328096905460393,160.49966878016448,3,mean
4.333301788587109,210.72679095296758,3,up
4.3228920223336775,110.27254660736139,3,down
5.46654679663102,146.54111857670114,4,mean
5.47104192296773,189.91908772594002,4,up
5.462051670294313,103.16314942746203,4,down
6.5013721964606805,132.6062269329043,5,mean
6.503974638024038,157.71978801930595,5,up
6.497823412510646,98.36046181508414,5,down
7.640295258824642,123.21377874514997,6,mean
7.643134285984667,150.61039083940614,6,up
7.637692817261284,98.10021765874853,6,down
8.675830415444311,116.12804012491733,7,mean
8.67843285700767,141.24160121131877,7,up
8.672991388284283,88.73142803066116,7,down
9.607741080723008,109.0659600643512,8,mean
9.611053279076375,141.02867417431685,8,up
9.60513863915965,83.95239897794977,8,down
10.540361502791706,108.85303302734906,9,mean
10.542254187565058,127.11744109018673,9,up
10.53752247563168,81.45642093309289,9,down
11.575660073814712,99.48424339926169,10,mean
11.577789344184731,120.03170246995387,10,up
11.572821046654683,72.08763130500552,10,down
12.508280495883406,99.27131636225977,11,mean
12.510173180656759,117.53572442509744,11,up
12.50591463991672,76.44080628371307,11,down
13.648149900634047,99.01107220592394,12,mean
13.650515756600738,121.84158228447086,12,up
13.64578404466736,76.18056212737724,12,down
14.684867985237057,103.34058862496454,13,mean
14.687470426800415,128.45414971136597,13,up
14.682028958077032,75.94397653070837,13,down
15.824264218794356,98.51424245291923,14,mean
15.827576417147723,130.47695656288488,14,up
15.820952020440993,66.55152834295382,14,down
16.861455474590706,107.40986088766886,15,mean
16.86405791615406,132.52342197407052,15,up
16.858853033027344,82.29629980126742,15,down
18.001324879341347,107.14961673133325,16,mean
18.003690735308034,129.98012680988018,16,up
17.99966878016466,91.16825967635054,16,down
19.143086968865333,125.15378063783487,17,mean
19.144979653638686,143.41818870067232,17,up
19.140957698495313,104.60632156714269,17,down
20.387527207343616,134.0020819532508,18,mean
20.389893063310303,156.8325920317975,18,up
20.385634522570264,115.73767389041336,18,down
21.527869783287585,138.30793981262423,19,mean
21.530472224850946,163.4215008990259,19,up
21.526213684110907,122.32658275764152,19,down
22.876407684300176,151.69868458408246,20,mean
22.879246711460198,179.09529667833863,20,up
22.874041828333482,128.86817450553553,20,down
24.120847922778466,160.5469858994984,21,mean
24.123213778745153,183.37749597804532,21,up
24.11871865240844,139.9995268288062,21,down
25.365288161256736,169.39528721491456,22,mean
25.366707674836753,183.09359326204276,22,up
25.363158890886716,148.84782814422238,22,down
26.505157566007377,169.1350430585785,23,mean
26.50752342197407,191.96555313712543,23,up
26.503028295637357,148.58758398788632,23,down
27.541875650610386,173.46455947761865,24,mean
27.54376833538374,191.72896754045632,24,up
27.539982965837034,155.2001514147812,24,down
28.474496072679095,173.25163244061673,25,mean
28.476152171855773,189.23298949559967,25,up
28.47331314469575,161.8363774013435,25,down
29.511214157282097,177.58114885965733,26,mean
29.512870256458783,193.56250591464004,26,up
29.509321472508752,159.3167407968199,26,down
30.443834579350806,177.3682218226552,27,mean
30.44572726412416,195.63262988549263,27,up
30.442178480174128,161.38686476767248,27,down
31.480552663953816,181.6977382416958,28,mean
31.482208763130494,197.6790952966785,28,up
31.47818680798713,158.86722816314887,28,down
32.41269991482918,176.9187091889844,29,mean
32.415302356392544,202.03227027538583,29,up
32.410334058862496,154.08819911043747,29,down
33.44894482823885,176.68212359231552,30,mean
33.45202044099555,206.36178669442643,30,up
33.446578972272164,153.8516135137686,30,down
34.278413930159935,181.0589571306898,31,mean
34.28101637172329,206.17251821709124,31,up
34.27557490299991,153.6623450364334,31,down
35.52238099744488,185.34115643039627,32,mean
35.52498343900824,210.4547175167977,32,up
35.62292987602914,155.6378347686184,32,down
36.454528248320244,180.56212737768533,33,mean
36.4571306898836,205.67568846408676,33,up
36.45121604996688,148.59941326771968,33,down
37.386675499195604,175.7830983249737,34,mean
37.38951452635563,203.17971041922988,34,up
37.384546228825585,155.23563925428152,34,down
38.42292041260527,175.54651272830483,35,mean
38.425286268571966,198.37702280685176,35,up
38.42079114223525,154.99905365761265,35,down
39.45916532601495,175.30992713163596,36,mean
39.4610580107883,193.5743351944734,36,up
39.45679947004826,152.47941705308904,36,down
40.59903473076558,175.04968297530036,37,mean
40.60163717232894,200.1632440617018,37,up
40.59690546039556,154.50222390460817,37,down
41.6357528153686,179.37919939434096,38,mean
41.63835525693195,204.4927604807424,38,up
41.632440617015234,147.4164852843753,38,down
42.672470899971614,183.7087158133811,39,mean
42.67530992713164,211.10532790763727,39,up
42.66915870161825,151.74600170341546,39,down
43.709188984574624,188.0382322324217,40,mean
43.712737768524654,222.28399735024186,40,up
43.705640200624586,153.79246711460132,40,down
44.64275574903,196.95750922683806,41,mean
44.64677770417337,235.7693763603677,41,up
44.63849720828996,155.8625910854537,41,down
45.679473833633004,201.28702564587843,42,mean
45.68444213116305,249.23109681082678,42,up
45.674505536102956,153.34295448093008,42,down
46.716665089429355,210.18264408062805,43,mean
46.72210655815274,262.6928172612859,43,up
46.71146020630264,159.95552190782496,43,down
47.857480836566666,219.05460395571072,44,mean
47.86363206208006,278.41393015993253,44,up
47.85180278224661,164.26137976719838,44,down
48.89514526355635,232.51632440616982,45,mean
