x,y,tuple,type
2.3980316078357156,535.3695467019968,0,mean
2.442509700009465,964.5831361786775,0,up
2.4067852749124636,119.8424339926105,0,down
3.328286173937732,512.3261095864482,1,mean
3.3609349862780373,827.3871486703948,1,up
3.3507618056212696,229.21595533263394,1,down
4.259960253619758,502.98097851802777,2,mean
4.2888236964133615,781.5132014762993,2,up
4.232752910002839,240.43011261473907,2,down
5.295258824642756,493.61218888994017,3,mean
5.325778366613038,788.1257689031945,3,up
5.26663196744582,217.36301693952328,3,down
6.331976909245766,497.9417053089808,4,mean
6.363679379199398,803.8705403615083,4,up
6.3000378536954695,189.72981924859823,4,down
7.265543673701144,506.86098230339735,5,mean
7.299138828428125,831.0542254187625,5,up
7.231475347780828,178.10163717232263,5,down
8.302734929497495,515.756600738147,6,mean
8.337986183401158,855.9312009084948,6,up
8.266773918803827,168.7328475442348,6,down
9.131730860225227,515.5673322608118,7,mean
9.167691870918896,862.5910854547237,7,up
9.096716191918235,177.67578309831833,7,down
9.859941326772026,542.7983344373993,8,mean
9.896138923062365,892.105138639166,8,up
9.824216901675028,198.05763225134183,8,down
10.686571401533074,519.7785558815178,9,mean
10.72300558342008,871.3684110911391,9,up
10.65179331882275,184.17005772687935,9,down
11.304532980032176,483.1077883978421,10,mean
11.340493990725845,830.1315415917543,10,up
11.270464654111857,154.34844326676762,10,down
12.02659222106558,450.9794643702089,11,mean
12.061606889372575,788.8710135327024,11,up
11.993943408725274,135.91842528626262,11,down
12.852749124633293,423.39358379861824,12,mean
12.887763792940289,761.2851329611116,12,up
12.81986372669632,106.0494937068172,12,down
13.677959685814328,386.67549919560884,13,mean
13.712028011734647,715.4348443266833,13,up
13.646020630264028,78.4636131352263,13,down
14.504116589382042,359.08961862401816,14,mean
14.538658086495696,692.4150657708019,14,up
14.471704362638404,46.31163054792637,14,down
15.333112520109777,358.90035014668297,15,mean
15.368363774013437,699.0749503170309,15,up
15.297388095012776,14.159647960625534,15,down
16.370776947099458,372.36207059714184,16,mean
16.40650137219646,717.1027727831993,16,up
16.33670862117914,43.60272546606734,16,down
17.306236396328195,399.54575565439563,17,mean
17.34196082142519,744.286457840453,17,up
17.272641241601214,75.35251253903061,17,down
18.13807135421596,426.7530992713164,18,mean
18.173559193716287,769.210750449519,18,up
18.104949370682313,107.12595817166039,18,down
18.764076843001803,467.70606605469834,19,mean
18.79814516892212,796.465411185773,19,up
18.729535345888145,134.3806189079146,19,down
19.595438629696226,490.3473076559096,20,mean
19.62974354121321,821.3897037948389,20,up
19.561606889372577,163.87101353268986,20,down
20.53089807892495,517.5309927131634,21,mean
20.564729819248605,844.0072868363834,21,up
20.496829753004633,188.77164758208892,21,down
21.36225986561938,540.1722343143747,22,mean
21.396328191539695,868.9315794454493,22,up
21.328191539699056,211.4128891833002,22,down
22.19362165231381,562.8134759155862,23,mean
22.228163149427466,896.1389230623699,23,up
22.159316740796818,231.77107977665696,23,down
23.128134759155863,580.8649569414213,24,mean
23.163386013059522,921.0395571117693,24,up
23.09406643323554,252.10561181034655,24,down
23.959023374656958,598.9400965269233,25,mean
23.994747799753952,943.6807987129805,25,up
23.924718463139968,267.89770038799406,25,down
24.996687801646637,612.4018169773822,26,mean
25.03312198353364,963.9916721870036,26,up
24.962382890129646,281.35942083845293,26,down
25.93120090848869,630.4532980032175,27,mean
25.967398504779027,979.7601022049842,27,up
25.895713068988357,287.9956468250148,27,down
26.865714015330745,648.5047790290525,28,mean
26.902148197217755,1000.0946342386738,28,up
26.829043247847075,294.6318728115764,28,down
27.90290527112709,657.4003974638022,29,mean
27.942415065770795,1038.6699157755343,29,up
27.8648149900634,289.8291851991978,29,down
28.94104286931011,675.4282199299705,30,mean
28.984101447903846,1090.943503359523,30,up
28.897037948329697,250.78073246899908,30,down
29.874609633765495,684.3474969243871,31,mean
29.92405602346929,1161.505157566016,31,up
29.8251632440617,207.18983628275805,31,down
30.704078735686565,688.7243304627611,32,mean
30.760386107693762,1232.0904703321758,32,up
30.64824453487271,149.92429260905578,32,down
