x,y,tuple,type
9,9.5,0,mean
9,13.30835816,0,up
9,5.046277524,0,down
12,12.0,1,mean
12,16.18144315,1,up
12,8.561077517,1,down
15,10.7,2,mean
15,16.88874002,2,up
15,7.824515629,2,down
18,11.7,3,mean
18,24.89554502,3,up
18,6.606843785,3,down
21,17.7,4,mean
21,29.77398939,4,up
21,12.84875624,4,down
24,26.4,5,mean
24,29.75953317,5,up
24,8.502723763,5,down
